supermercado,codigo,nombre,categoria,precio_actual,unidad,fecha,clave
chanear,175.0,BIFE DE ENTRECOT ESPECIAL MADURADO,Carnes Vacunas,28000.0,kg,20260306,chanear_175.0_bife de entrecot especial madurado
chanear,101.0,BOLA DE LOMO,Carnes Vacunas,16700.0,kg,20260306,chanear_101.0_bola de lomo
chanear,111.0,BRAZUELO CON HUESO,Carnes Vacunas,13700.0,kg,20260306,chanear_111.0_brazuelo con hueso
chanear,100.0,BRAZUELO POR PIEZA ENTERA,Carnes Vacunas,11799.98,kg,20260306,chanear_100.0_brazuelo por pieza entera
chanear,112.0,BRAZUELO SIN HUESO,Carnes Vacunas,15800.0,kg,20260306,chanear_112.0_brazuelo sin hueso
chanear,125.0,COSTELETA CON LOMO O T-BONE,Carnes Vacunas,18500.0,kg,20260306,chanear_125.0_costeleta con lomo o t-bone
chanear,130.0,COSTELETA DEL MEDIO,Carnes Vacunas,16500.0,kg,20260306,chanear_130.0_costeleta del medio
chanear,123.0,COSTELETAS GRANDES,Carnes Vacunas,12900.0,kg,20260306,chanear_123.0_costeletas grandes
chanear,132.0,COSTILLA DE TH,Carnes Vacunas,23200.0,kg,20260306,chanear_132.0_costilla de th
chanear,104.0,CUADRIL,Carnes Vacunas,19300.0,kg,20260306,chanear_104.0_cuadril
chanear,109.0,CUADRIL CON PUNTA,Carnes Vacunas,19600.0,kg,20260306,chanear_109.0_cuadril con punta
chanear,139.0,ENTRAÑA FINA,Carnes Vacunas,30500.0,kg,20260306,chanear_139.0_entraña fina
chanear,120.0,ENTRECOT COMUN,Carnes Vacunas,13900.0,kg,20260306,chanear_120.0_entrecot comun
chanear,122.0,ENTRECOT ESPECIAL,Carnes Vacunas,23900.0,kg,20260306,chanear_122.0_entrecot especial
chanear,116.0,FALDA,Carnes Vacunas,10900.0,kg,20260306,chanear_116.0_falda
chanear,103.0,JAMON CUADRADO,Carnes Vacunas,16700.0,kg,20260306,chanear_103.0_jamon cuadrado
chanear,108.0,JAMON REDONDO,Carnes Vacunas,23800.0,kg,20260306,chanear_108.0_jamon redondo
chanear,129.0,LOMO,Carnes Vacunas,25800.0,kg,20260306,chanear_129.0_lomo
chanear,131.0,MAR DEL PLATA DE TERNERA,Carnes Vacunas,19700.0,kg,20260306,chanear_131.0_mar del plata de ternera
chanear,113.0,MARUCHA DE TERNERA,Carnes Vacunas,12000.0,kg,20260306,chanear_113.0_marucha de ternera
chanear,134.0,MATAMBRE DE TERNERA,Carnes Vacunas,17900.0,kg,20260306,chanear_134.0_matambre de ternera
chanear,102.0,NALGA,Carnes Vacunas,20500.0,kg,20260306,chanear_102.0_nalga
chanear,170.0,OJO DE BIFE RELLENO,Carnes Vacunas,29900.0,kg,20260306,chanear_170.0_ojo de bife relleno
chanear,105.0,PALOMITA DE TERNERA,Carnes Vacunas,15800.0,kg,20260306,chanear_105.0_palomita de ternera
chanear,126.0,PICADA COMUN DE TERNERA,Carnes Vacunas,8300.0,kg,20260306,chanear_126.0_picada comun de ternera
chanear,140.0,PICADA ESPECIAL DE TERNERA,Carnes Vacunas,14200.0,kg,20260306,chanear_140.0_picada especial de ternera
chanear,106.0,PICAÑA DE TERNERA,Carnes Vacunas,20800.0,kg,20260306,chanear_106.0_picaña de ternera
